Integrated_Pathway,Gene,Source_Sub_Pathway
Apoptosis Execution,ACIN1,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,ACVR1C,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,AIFM1,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,AIFM3,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,AKT1,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,APAF1,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,BAX,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,BBC3,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,BCL2L1,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,BLCAP,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,BNIP1,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,BOK,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CAPN10,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CASP2,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CASP3,GOBP_EXECUTION_PHASE_OF_APOPTOSIS / REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION
Apoptosis Execution,CASP6,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CASP7,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CASP8,GOBP_EXECUTION_PHASE_OF_APOPTOSIS
Apoptosis Execution,CDK5RAP3,GOBP_CELLULAR_COMPONENT_DISASSEMBLY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS / GOBP_EXECUTION_PHASE_OF_APOPTOSIS
