Integrated_Pathway,Gene,Source_Pathway
DNA Methylation,ATF7IP,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,ATF7IP2,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,BAZ2A,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,BEND3,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,DNMT1,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | REACTOME_DNA_METHYLATION
DNA Methylation,DNMT3A,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | REACTOME_DNA_METHYLATION
DNA Methylation,DNMT3B,REACTOME_DNA_METHYLATION
DNA Methylation,DNMT3L,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | REACTOME_DNA_METHYLATION
DNA Methylation,DYRK1A,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,EHMT1,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,EHMT2,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,H2AB1,REACTOME_DNA_METHYLATION
DNA Methylation,H2AC14,REACTOME_DNA_METHYLATION
DNA Methylation,H2AC18,REACTOME_DNA_METHYLATION
DNA Methylation,H2AC19,REACTOME_DNA_METHYLATION
DNA Methylation,H2AC20,REACTOME_DNA_METHYLATION
DNA Methylation,H2AC4,REACTOME_DNA_METHYLATION
DNA Methylation,H2AC6,REACTOME_DNA_METHYLATION
DNA Methylation,H2AC7,REACTOME_DNA_METHYLATION
DNA Methylation,H2AC8,REACTOME_DNA_METHYLATION
DNA Methylation,H2AJ,REACTOME_DNA_METHYLATION
DNA Methylation,H2AX,REACTOME_DNA_METHYLATION
DNA Methylation,H2AZ2,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC1,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC10,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC11,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC12,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC12L,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC13,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC14,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC15,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC17,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC21,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC26,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC3,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC4,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC5,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC6,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC7,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC8,REACTOME_DNA_METHYLATION
DNA Methylation,H2BC9,REACTOME_DNA_METHYLATION
DNA Methylation,H3-3A,REACTOME_DNA_METHYLATION
DNA Methylation,H3-3B,REACTOME_DNA_METHYLATION
DNA Methylation,H3C1,REACTOME_DNA_METHYLATION
DNA Methylation,H3C10,REACTOME_DNA_METHYLATION
DNA Methylation,H3C11,REACTOME_DNA_METHYLATION
DNA Methylation,H3C12,REACTOME_DNA_METHYLATION
DNA Methylation,H3C13,REACTOME_DNA_METHYLATION
DNA Methylation,H3C14,REACTOME_DNA_METHYLATION
DNA Methylation,H3C15,REACTOME_DNA_METHYLATION
DNA Methylation,H3C2,REACTOME_DNA_METHYLATION
DNA Methylation,H3C3,REACTOME_DNA_METHYLATION
DNA Methylation,H3C4,REACTOME_DNA_METHYLATION
DNA Methylation,H3C6,REACTOME_DNA_METHYLATION
DNA Methylation,H3C7,REACTOME_DNA_METHYLATION
DNA Methylation,H3C8,REACTOME_DNA_METHYLATION
DNA Methylation,H4C1,REACTOME_DNA_METHYLATION
DNA Methylation,H4C11,REACTOME_DNA_METHYLATION
DNA Methylation,H4C12,REACTOME_DNA_METHYLATION
DNA Methylation,H4C13,REACTOME_DNA_METHYLATION
DNA Methylation,H4C14,REACTOME_DNA_METHYLATION
DNA Methylation,H4C15,REACTOME_DNA_METHYLATION
DNA Methylation,H4C16,REACTOME_DNA_METHYLATION
DNA Methylation,H4C2,REACTOME_DNA_METHYLATION
DNA Methylation,H4C3,REACTOME_DNA_METHYLATION
DNA Methylation,H4C4,REACTOME_DNA_METHYLATION
DNA Methylation,H4C5,REACTOME_DNA_METHYLATION
DNA Methylation,H4C6,REACTOME_DNA_METHYLATION
DNA Methylation,H4C8,REACTOME_DNA_METHYLATION
DNA Methylation,H4C9,REACTOME_DNA_METHYLATION
DNA Methylation,HDAC1,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,HELLS,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,KDM1A,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,KMT2A,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,L3MBTL3,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,MBD2,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,MBD3,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,MBD3L1,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,MBD3L2,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,MBD3L2B,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,MBD3L3,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,MBD3L4,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,MBD3L5,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,MORC2,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,MPHOSPH8,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,PPHLN1,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,PPM1D,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,RESF1,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,SAMD1,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,SETDB1,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,SETDB2,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,SIRT1,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,SMARCA5,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,TASOR,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,TEX15,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,TRIM28,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
DNA Methylation,UHRF1,REACTOME_DNA_METHYLATION
DNA Methylation,ZNF304,GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION | GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_FORMATION
Histone Methylation,ATM,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,CHEK2,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,EHMT1,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,EHMT2,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,EP300,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,JMY,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,KMT5A,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,L3MBTL1,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,MDM2,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,MDM4,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,PRMT5,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,RPS27A,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,SETD9,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,SMYD2,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,TP53,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,TTC5,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,UBA52,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,UBB,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Methylation,UBC,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION
Histone Modifications,AEBP2,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,ASXL1,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
Histone Modifications,ASXL2,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
Histone Modifications,ASXL3,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
Histone Modifications,AUTS2,KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2
Histone Modifications,BAP1,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
Histone Modifications,BCOR,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119
Histone Modifications,BCORL1,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119
Histone Modifications,BMI1,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,CBX2,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,CBX3,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
Histone Modifications,CBX4,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,CBX6,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,CBX7,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,CBX8,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,CSNK2A1,KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2
Histone Modifications,CSNK2A2,KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2
Histone Modifications,CSNK2B,KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2
Histone Modifications,CTBP1,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,CTBP2,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,DCAF7,KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2
Histone Modifications,E2F6,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
Histone Modifications,EED,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,EHMT1,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
Histone Modifications,EHMT2,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
Histone Modifications,ELOB,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,ELOC,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,EPOP,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,EZH1,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,EZH2,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,FBRS,KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2
Histone Modifications,FOXK1,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
Histone Modifications,FOXK2,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
Histone Modifications,H2AC1,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,H2AC4,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,H3-3A,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,H3-3B,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,H3C1,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,H3C2,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,HCFC1,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
Histone Modifications,HDAC1,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
Histone Modifications,HDAC2,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
Histone Modifications,JARID2,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,KDM2B,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119
Histone Modifications,L3MBTL2,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
Histone Modifications,LCOR,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,LCORL,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,MAX,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
Histone Modifications,MBD5,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
Histone Modifications,MBD6,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
Histone Modifications,MGA,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
Histone Modifications,MTF2,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,OGT,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119
Histone Modifications,PCGF1,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119
Histone Modifications,PCGF2,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,PCGF3,KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2
Histone Modifications,PCGF5,KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2
Histone Modifications,PCGF6,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES
Histone Modifications,PHC1,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,PHC2,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,PHC3,KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,PHF1,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,PHF19,KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,RBBP4,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,RBBP7,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
Histone Modifications,RING1,KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES | KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2 | KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119 | KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
