Integrated_Pathway,Gene,Source_Sub_Pathway
Cell Division in Inflammation,ACTR2,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MEIOTIC_CYTOKINESIS
Cell Division in Inflammation,ACTR3,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MEIOTIC_CYTOKINESIS
Cell Division in Inflammation,AHCTF1,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,ALKBH4,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
Cell Division in Inflammation,ANK3,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,ANKRD53,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,ANLN,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,ANXA11,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS
Cell Division in Inflammation,APC,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,ARF1,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS
Cell Division in Inflammation,ARF6,GOBP_CYTOKINESIS/GOBP_CYTOKINETIC_PROCESS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS/GOBP_MITOTIC_CYTOKINETIC_PROCESS/GOBP_POSITIVE_REGULATION_OF_CYTOKINESIS/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINETIC_PROCESS/GOBP_REGULATION_OF_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,ARL3,GOBP_CYTOKINESIS/GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS/GOBP_MITOTIC_CYTOKINESIS
Cell Division in Inflammation,ATXN10,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
Cell Division in Inflammation,AURKA,GOBP_CYTOKINESIS/GOBP_REGULATION_OF_CYTOKINESIS
